metric,value
original_ratings,1000209
filtered_ratings,995154
unique_users_filtered,6022
unique_movies_filtered,3043
min_ratings_per_user_after_filter,20
min_ratings_per_movie_after_filter,20
train_ratings,801390
validation_ratings,96882
test_ratings,96882
users_in_train,6022
users_in_val,6022
users_in_test,6022
train_pairs,1155105
validation_pairs,395462
test_pairs,397534
train_users_with_pairs,6018
val_users_with_pairs,5603
test_users_with_pairs,5601
min_train_rating_diff,1
min_val_rating_diff,1
min_test_rating_diff,1
users_without_train_pairs,4
users_without_val_pairs,419
users_without_test_pairs,421
