min_pairs_per_user,max_pairs_per_user,users_kept,share_users_kept,pairs_kept_total,share_pairs_kept,avg_pairs_per_user,median_pairs_per_user,users_removed_by_min,users_affected_by_max
0,200,4726,1.0,905498,0.026,191.6,200.0,0,4148
0,500,4726,1.0,2002095,0.0574,423.63,500.0,0,3287
0,1000,4726,1.0,3454616,0.0991,730.98,1000.0,0,2623
0,2000,4726,1.0,5692252,0.1633,1204.45,1273.0,0,1951
0,5000,4726,1.0,10300774,0.2955,2179.6,1273.0,0,1243
0,10000,4726,1.0,15161663,0.4349,3208.14,1273.0,0,761
0,all,4726,1.0,34861381,1.0,7376.51,1273.0,0,0
10,200,4722,0.9992,905490,0.026,191.76,200.0,4,4148
10,500,4722,0.9992,2002087,0.0574,423.99,500.0,4,3287
10,1000,4722,0.9992,3454608,0.0991,731.6,1000.0,4,2623
10,2000,4722,0.9992,5692244,0.1633,1205.47,1277.5,4,1951
10,5000,4722,0.9992,10300766,0.2955,2181.44,1277.5,4,1243
10,10000,4722,0.9992,15161655,0.4349,3210.85,1277.5,4,761
10,all,4722,0.9992,34861373,1.0,7382.76,1277.5,4,0
30,200,4718,0.9983,905396,0.026,191.9,200.0,8,4148
30,500,4718,0.9983,2001993,0.0574,424.33,500.0,8,3287
30,1000,4718,0.9983,3454514,0.0991,732.2,1000.0,8,2623
30,2000,4718,0.9983,5692150,0.1633,1206.48,1278.0,8,1951
30,5000,4718,0.9983,10300672,0.2955,2183.27,1278.0,8,1243
30,10000,4718,0.9983,15161561,0.4349,3213.56,1278.0,8,761
30,all,4718,0.9983,34861279,1.0,7389.0,1278.0,8,0
50,200,4698,0.9941,904598,0.0259,192.55,200.0,28,4148
50,500,4698,0.9941,2001195,0.0574,425.97,500.0,28,3287
50,1000,4698,0.9941,3453716,0.0991,735.15,1000.0,28,2623
50,2000,4698,0.9941,5691352,0.1633,1211.44,1285.0,28,1951
50,5000,4698,0.9941,10299874,0.2955,2192.4,1285.0,28,1243
50,10000,4698,0.9941,15160763,0.4349,3227.07,1285.0,28,761
50,all,4698,0.9941,34860481,1.0,7420.28,1285.0,28,0
70,200,4669,0.9879,902841,0.0259,193.37,200.0,57,4148
70,500,4669,0.9879,1999438,0.0574,428.24,500.0,57,3287
70,1000,4669,0.9879,3451959,0.099,739.34,1000.0,57,2623
70,2000,4669,0.9879,5689595,0.1632,1218.59,1298.0,57,1951
70,5000,4669,0.9879,10298117,0.2954,2205.64,1298.0,57,1243
70,10000,4669,0.9879,15159006,0.4348,3246.74,1298.0,57,761
70,all,4669,0.9879,34858724,0.9999,7465.99,1298.0,57,0
100,200,4577,0.9685,894987,0.0257,195.54,200.0,149,4148
100,500,4577,0.9685,1991584,0.0571,435.13,500.0,149,3287
100,1000,4577,0.9685,3444105,0.0988,752.48,1000.0,149,2623
100,2000,4577,0.9685,5681741,0.163,1241.37,1360.0,149,1951
100,5000,4577,0.9685,10290263,0.2952,2248.25,1360.0,149,1243
100,10000,4577,0.9685,15151152,0.4346,3310.28,1360.0,149,761
100,all,4577,0.9685,34850870,0.9997,7614.35,1360.0,149,0
