experiment,best_epoch,best_val_macro_accuracy,total_time_sec,embedding_dim,learning_rate,reg_lambda,batch_size,use_item_bias,train_macro_accuracy_best,train_micro_accuracy_best,train_auc_best,validation_macro_accuracy_best,validation_micro_accuracy_best,validation_auc_best,validation_log_loss_best,validation_brier_best,stage,reused_from_experiment,pair_sampling_scheme,pair_min_diff,sampling_strategy,train_pairs_used,train_users_used,train_items_used
pair_sampling_gap2_random_cap_dim64_lr3em04_reg1em04_bs8192_bias,6,0.7608390566674916,774.02,64,0.0003,0.0001,8192,True,0.9486511506989802,0.9397957993367818,0.9853885573678033,0.7608390566674916,0.8090035934055361,0.8968331906603852,0.40256336403265397,0.13065165281295776,pair_sampling_ablation,,gap2_random_cap,2.0,random_cap,5692244.0,4722.0,3250.0
bs_sweep_dim64_lr3em04_reg1em04_bs8192_bias,6,0.7576079589130686,773.03,64,0.0003,0.0001,8192,True,0.9483213143344372,0.9394080787822869,0.9852128630914161,0.7576079589130686,0.8084325807679597,0.8960241612059001,0.40407480545279395,0.13118578493595123,batch_size_sweep,,,,,,,
pair_sampling_current_step1_gap2_stratified_cap_dim64_lr3em04_reg1em04_bs8192_bias,6,0.7576079589130686,773.03,64,0.0003,0.0001,8192,True,0.9483213143344372,0.9394080787822869,0.9852128630914161,0.7576079589130686,0.8084325807679597,0.8960241612059001,0.40407480545279395,0.13118578493595123,pair_sampling_ablation_reused,bs_sweep_dim64_lr3em04_reg1em04_bs8192_bias,current_step1_gap2_stratified_cap,2.0,stratified_cap,5692244.0,4722.0,3250.0
lr_sweep_dim64_lr3em04_reg1em04_bs16384_bias,10,0.756726201775643,1097.73,64,0.0003,0.0001,16384,True,0.9578737565077268,0.9484677747475336,0.9889266431845634,0.756726201775643,0.8086354680421168,0.896332582349953,0.40384589256305214,0.13105425238609314,learning_rate_sweep,,,,,,,
bs_sweep_dim64_lr3em04_reg1em04_bs16384_bias,10,0.756726201775643,1097.73,64,0.0003,0.0001,16384,True,0.9578737565077268,0.9484677747475336,0.9889266431845634,0.756726201775643,0.8086354680421168,0.896332582349953,0.40384589256305214,0.13105425238609314,batch_size_sweep_reused,lr_sweep_dim64_lr3em04_reg1em04_bs16384_bias,,,,,,
bs_sweep_dim64_lr3em04_reg1em04_bs32768_bias,14,0.7566561505943297,1339.41,64,0.0003,0.0001,32768,True,0.9496810597614731,0.940047369719218,0.9853836816205745,0.7566561505943297,0.8073093800852544,0.8955509742365074,0.40460089725596377,0.13150957226753235,batch_size_sweep,,,,,,,
bs_sweep_dim64_lr3em04_reg1em04_bs65536_bias,20,0.7557693808232687,1524.23,64,0.0003,0.0001,65536,True,0.937225679748448,0.9274489990239351,0.979366604035341,0.7557693808232687,0.8056569991926341,0.893887737521005,0.40732485997709506,0.13255174458026886,batch_size_sweep,,,,,,,
pair_sampling_gap1_stratified_cap_dim64_lr3em04_reg1em04_bs8192_bias,4,0.7529509215759186,810.41,64,0.0003,0.0001,8192,True,0.8556784618497096,0.84641540179245,0.9253997608540443,0.7529509215759186,0.8017979577408816,0.8901774236763478,0.42565334714560893,0.1379634141921997,pair_sampling_ablation,,gap1_stratified_cap,1.0,stratified_cap,7456275.0,4722.0,3250.0
dim_sweep_dim64_lr1em03_reg1em04_bs16384_bias,2,0.7523015897672283,414.57,64,0.001,0.0001,16384,True,0.93181644147889,0.9228293797665736,0.9770292777253538,0.7523015897672283,0.803782906433409,0.8923002122383387,0.4099969480062121,0.13359394669532776,embedding_dim_sweep,,,,,,,
reg_sweep_dim32_lr1em03_reg1em04_bs16384_bias,3,0.7515716701452893,473.29,32,0.001,0.0001,16384,True,0.9191644654645366,0.9109591928947529,0.9710955292244727,0.7515716701452893,0.8023647871356918,0.8908997268526008,0.41263380470418953,0.13451752066612244,regularization_sweep,,,,,,,
