run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0001,item_l2_cosine,64,l2,cosine,5,1.0,0.032018,3250,3,3188,0.9809230769230769,62,0.019076923076923078,52,0.016,0.8387096774193549,5,5.0,20.666666666666668
item_run_0002,item_l2_cosine,64,l2,cosine,5,2.5,0.044195,3250,1,3120,0.96,130,0.04,130,0.04,1.0,130,130.0,130.0
item_run_0003,item_l2_cosine,64,l2,cosine,5,5.0,0.056712,3250,1,3036,0.9341538461538461,214,0.06584615384615385,214,0.06584615384615385,1.0,214,214.0,214.0
item_run_0004,item_l2_cosine,64,l2,cosine,5,10.0,0.085566,3250,2,2856,0.8787692307692307,394,0.12123076923076923,389,0.1196923076923077,0.9873096446700508,5,197.0,197.0
item_run_0005,item_l2_cosine,64,l2,cosine,5,15.0,0.121162,3250,2,2673,0.8224615384615385,577,0.17753846153846153,547,0.1683076923076923,0.9480069324090121,30,288.5,288.5
item_run_0006,item_l2_cosine,64,l2,cosine,5,20.0,0.154133,3250,2,2508,0.7716923076923077,742,0.2283076923076923,664,0.2043076923076923,0.894878706199461,78,371.0,371.0
item_run_0007,item_l2_cosine,64,l2,cosine,5,25.0,0.189533,3250,2,2294,0.7058461538461539,956,0.29415384615384615,807,0.2483076923076923,0.8441422594142259,149,478.0,478.0
item_run_0008,item_l2_cosine,64,l2,cosine,5,30.0,0.21955,3250,4,2102,0.6467692307692308,1148,0.35323076923076924,919,0.2827692307692308,0.8005226480836237,4,112.5,287.0
item_run_0009,item_l2_cosine,64,l2,cosine,5,35.0,0.247054,3250,4,1945,0.5984615384615385,1305,0.4015384615384615,1002,0.3083076923076923,0.767816091954023,4,149.5,326.25
item_run_0010,item_l2_cosine,64,l2,cosine,5,40.0,0.279581,3250,4,1709,0.5258461538461539,1541,0.47415384615384615,1522,0.4683076923076923,0.9876703439325114,4,7.5,385.25
item_run_0011,item_l2_cosine,64,l2,cosine,5,45.0,0.309298,3250,3,1492,0.4590769230769231,1758,0.540923076923077,1739,0.5350769230769231,0.9891922639362912,5,14.0,586.0
item_run_0012,item_l2_cosine,64,l2,cosine,5,50.0,0.330812,3250,3,1300,0.4,1950,0.6,1932,0.5944615384615385,0.9907692307692307,4,14.0,650.0
item_run_0013,item_l2_cosine,64,l2,cosine,5,60.0,0.37384,3250,2,994,0.3058461538461538,2256,0.6941538461538461,2252,0.692923076923077,0.99822695035461,4,1128.0,1128.0
item_run_0014,item_l2_cosine,64,l2,cosine,5,70.0,0.421636,3250,1,651,0.2003076923076923,2599,0.7996923076923077,2599,0.7996923076923077,1.0,2599,2599.0,2599.0
item_run_0015,item_l2_cosine,64,l2,cosine,5,80.0,0.468316,3250,1,343,0.10553846153846154,2907,0.8944615384615384,2907,0.8944615384615384,1.0,2907,2907.0,2907.0
item_run_0016,item_l2_cosine,64,l2,cosine,5,85.0,0.492904,3250,1,205,0.06307692307692307,3045,0.936923076923077,3045,0.936923076923077,1.0,3045,3045.0,3045.0
item_run_0017,item_l2_cosine,64,l2,cosine,5,90.0,0.519857,3250,1,118,0.036307692307692305,3132,0.9636923076923077,3132,0.9636923076923077,1.0,3132,3132.0,3132.0
item_run_0018,item_l2_cosine,64,l2,cosine,5,95.0,0.554823,3250,1,46,0.014153846153846154,3204,0.9858461538461538,3204,0.9858461538461538,1.0,3204,3204.0,3204.0
item_run_0019,item_l2_cosine,64,l2,cosine,5,99.0,0.603743,3250,1,5,0.0015384615384615385,3245,0.9984615384615385,3245,0.9984615384615385,1.0,3245,3245.0,3245.0
item_run_0020,item_l2_cosine,64,l2,cosine,33,1.0,0.050766,3250,1,3084,0.9489230769230769,166,0.051076923076923075,166,0.051076923076923075,1.0,166,166.0,166.0
item_run_0021,item_l2_cosine,64,l2,cosine,33,2.5,0.062518,3250,1,3018,0.9286153846153846,232,0.07138461538461538,232,0.07138461538461538,1.0,232,232.0,232.0
item_run_0022,item_l2_cosine,64,l2,cosine,33,5.0,0.076772,3250,1,2924,0.8996923076923077,326,0.1003076923076923,326,0.1003076923076923,1.0,326,326.0,326.0
item_run_0023,item_l2_cosine,64,l2,cosine,33,10.0,0.11217,3250,1,2744,0.8443076923076923,506,0.15569230769230769,506,0.15569230769230769,1.0,506,506.0,506.0
item_run_0024,item_l2_cosine,64,l2,cosine,33,15.0,0.151726,3250,1,2600,0.8,650,0.2,650,0.2,1.0,650,650.0,650.0
item_run_0025,item_l2_cosine,64,l2,cosine,33,20.0,0.195961,3250,2,2312,0.7113846153846154,938,0.2886153846153846,822,0.2529230769230769,0.8763326226012793,116,469.0,469.0
item_run_0026,item_l2_cosine,64,l2,cosine,33,25.0,0.237177,3250,2,2084,0.6412307692307693,1166,0.3587692307692308,948,0.2916923076923077,0.8130360205831904,218,583.0,583.0
item_run_0027,item_l2_cosine,64,l2,cosine,33,30.0,0.274836,3250,2,1854,0.5704615384615385,1396,0.42953846153846154,1083,0.3332307692307692,0.7757879656160458,313,698.0,698.0
item_run_0028,item_l2_cosine,64,l2,cosine,33,35.0,0.310994,3250,2,1611,0.4956923076923077,1639,0.5043076923076923,1193,0.3670769230769231,0.7278828553996339,446,819.5,819.5
item_run_0029,item_l2_cosine,64,l2,cosine,33,40.0,0.34634,3250,2,1342,0.41292307692307695,1908,0.587076923076923,1324,0.4073846153846154,0.6939203354297694,584,954.0,954.0
item_run_0030,item_l2_cosine,64,l2,cosine,33,45.0,0.383053,3250,1,1126,0.3464615384615385,2124,0.6535384615384615,2124,0.6535384615384615,1.0,2124,2124.0,2124.0
item_run_0031,item_l2_cosine,64,l2,cosine,33,50.0,0.411293,3250,1,906,0.27876923076923077,2344,0.7212307692307692,2344,0.7212307692307692,1.0,2344,2344.0,2344.0
item_run_0032,item_l2_cosine,64,l2,cosine,33,60.0,0.463738,3250,1,521,0.16030769230769232,2729,0.8396923076923077,2729,0.8396923076923077,1.0,2729,2729.0,2729.0
item_run_0033,item_l2_cosine,64,l2,cosine,33,70.0,0.514655,3250,1,212,0.06523076923076923,3038,0.9347692307692308,3038,0.9347692307692308,1.0,3038,3038.0,3038.0
item_run_0034,item_l2_cosine,64,l2,cosine,33,80.0,0.562591,3250,1,62,0.019076923076923078,3188,0.9809230769230769,3188,0.9809230769230769,1.0,3188,3188.0,3188.0
item_run_0035,item_l2_cosine,64,l2,cosine,33,85.0,0.587188,3250,1,23,0.007076923076923077,3227,0.9929230769230769,3227,0.9929230769230769,1.0,3227,3227.0,3227.0
item_run_0036,item_l2_cosine,64,l2,cosine,33,90.0,0.615456,3250,1,3,0.0009230769230769231,3247,0.9990769230769231,3247,0.9990769230769231,1.0,3247,3247.0,3247.0
item_run_0037,item_l2_cosine,64,l2,cosine,33,95.0,0.648963,3250,1,0,0.0,3250,1.0,3250,1.0,1.0,3250,3250.0,3250.0
item_run_0038,item_l2_cosine,64,l2,cosine,33,99.0,0.699394,3250,1,0,0.0,3250,1.0,3250,1.0,1.0,3250,3250.0,3250.0
item_run_0039,item_l2_cosine,64,l2,cosine,65,1.0,0.062711,3250,1,3042,0.936,208,0.064,208,0.064,1.0,208,208.0,208.0
item_run_0040,item_l2_cosine,64,l2,cosine,65,2.5,0.073097,3250,1,2958,0.9101538461538462,292,0.08984615384615384,292,0.08984615384615384,1.0,292,292.0,292.0
item_run_0041,item_l2_cosine,64,l2,cosine,65,5.0,0.088727,3250,1,2859,0.8796923076923077,391,0.12030769230769231,391,0.12030769230769231,1.0,391,391.0,391.0
item_run_0042,item_l2_cosine,64,l2,cosine,65,10.0,0.125706,3250,1,2689,0.8273846153846154,561,0.17261538461538461,561,0.17261538461538461,1.0,561,561.0,561.0
item_run_0043,item_l2_cosine,64,l2,cosine,65,15.0,0.165088,3250,1,2558,0.7870769230769231,692,0.2129230769230769,692,0.2129230769230769,1.0,692,692.0,692.0
item_run_0044,item_l2_cosine,64,l2,cosine,65,20.0,0.21487,3250,2,2271,0.6987692307692308,979,0.30123076923076925,881,0.2710769230769231,0.8998978549540347,98,489.5,489.5
item_run_0045,item_l2_cosine,64,l2,cosine,65,25.0,0.262226,3250,2,1979,0.6089230769230769,1271,0.3910769230769231,1024,0.3150769230769231,0.8056648308418568,247,635.5,635.5
item_run_0046,item_l2_cosine,64,l2,cosine,65,30.0,0.302612,3250,2,1727,0.5313846153846153,1523,0.4686153846153846,1153,0.3547692307692308,0.7570584372948129,370,761.5,761.5
item_run_0047,item_l2_cosine,64,l2,cosine,65,35.0,0.339957,3250,2,1470,0.4523076923076923,1780,0.5476923076923077,1271,0.3910769230769231,0.7140449438202248,509,890.0,890.0
item_run_0048,item_l2_cosine,64,l2,cosine,65,40.0,0.378057,3250,2,1214,0.37353846153846154,2036,0.6264615384615385,1390,0.4276923076923077,0.6827111984282908,646,1018.0,1018.0
item_run_0049,item_l2_cosine,64,l2,cosine,65,45.0,0.417194,3250,1,947,0.2913846153846154,2303,0.7086153846153846,2303,0.7086153846153846,1.0,2303,2303.0,2303.0
item_run_0050,item_l2_cosine,64,l2,cosine,65,50.0,0.447484,3250,1,712,0.21907692307692309,2538,0.7809230769230769,2538,0.7809230769230769,1.0,2538,2538.0,2538.0
item_run_0051,item_l2_cosine,64,l2,cosine,65,60.0,0.499501,3250,1,367,0.11292307692307692,2883,0.8870769230769231,2883,0.8870769230769231,1.0,2883,2883.0,2883.0
item_run_0052,item_l2_cosine,64,l2,cosine,65,70.0,0.553055,3250,1,113,0.03476923076923077,3137,0.9652307692307692,3137,0.9652307692307692,1.0,3137,3137.0,3137.0
item_run_0053,item_l2_cosine,64,l2,cosine,65,80.0,0.603621,3250,1,21,0.006461538461538461,3229,0.9935384615384616,3229,0.9935384615384616,1.0,3229,3229.0,3229.0
item_run_0054,item_l2_cosine,64,l2,cosine,65,85.0,0.626821,3250,1,4,0.0012307692307692308,3246,0.9987692307692307,3246,0.9987692307692307,1.0,3246,3246.0,3246.0
