run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0848,item_standardized_l2_cosine,64,standardized_l2,cosine,128,50.0,0.458662,3250,2,686,0.21107692307692308,2564,0.788923076923077,1310,0.40307692307692305,0.5109204368174727,1254,1282.0,1282.0
item_run_0544,item_pca30_l2_cosine,30,pca30_l2,cosine,60,50.0,0.330948,3250,2,814,0.25046153846153846,2436,0.7495384615384615,1245,0.3830769230769231,0.5110837438423645,1191,1218.0,1218.0
item_run_0829,item_standardized_l2_cosine,64,standardized_l2,cosine,65,50.0,0.422802,3250,2,857,0.26369230769230767,2393,0.7363076923076923,1231,0.37876923076923075,0.5144170497283744,1162,1196.5,1196.5
item_run_0316,item_pca20_l2_cosine,20,pca20_l2,cosine,40,50.0,0.252514,3250,2,887,0.27292307692307693,2363,0.7270769230769231,1204,0.37046153846153845,0.5095217943292425,1159,1181.5,1181.5
item_run_0847,item_standardized_l2_cosine,64,standardized_l2,cosine,128,45.0,0.428886,3250,2,889,0.27353846153846156,2361,0.7264615384615385,1224,0.37661538461538463,0.5184243964421855,1137,1180.5,1180.5
item_run_0525,item_pca30_l2_cosine,30,pca30_l2,cosine,31,50.0,0.301478,3250,2,959,0.29507692307692307,2291,0.7049230769230769,1186,0.3649230769230769,0.5176778699257966,1105,1145.5,1145.5
item_run_0810,item_standardized_l2_cosine,64,standardized_l2,cosine,33,50.0,0.395593,3250,2,994,0.3058461538461538,2256,0.6941538461538461,1178,0.36246153846153845,0.5221631205673759,1078,1128.0,1128.0
item_run_0126,item_pca10_l2_cosine,10,pca10_l2,cosine,20,50.0,0.125976,3250,2,1002,0.3083076923076923,2248,0.6916923076923077,1153,0.3547692307692308,0.5129003558718861,1095,1124.0,1124.0
item_run_0067,item_l2_cosine,64,l2,cosine,128,40.0,0.419038,3250,2,1022,0.31446153846153846,2228,0.6855384615384615,1488,0.45784615384615385,0.6678635547576302,740,1114.0,1114.0
item_run_0543,item_pca30_l2_cosine,30,pca30_l2,cosine,60,45.0,0.302751,3250,2,1039,0.3196923076923077,2211,0.6803076923076923,1150,0.35384615384615387,0.5201266395296246,1061,1105.5,1105.5
item_run_0828,item_standardized_l2_cosine,64,standardized_l2,cosine,65,45.0,0.395521,3250,2,1047,0.3221538461538462,2203,0.6778461538461539,1161,0.35723076923076924,0.5270086246028144,1042,1101.5,1101.5
item_run_0315,item_pca20_l2_cosine,20,pca20_l2,cosine,40,45.0,0.229078,3250,2,1101,0.33876923076923077,2149,0.6612307692307692,1121,0.34492307692307694,0.5216379711493718,1028,1074.5,1074.5
item_run_0846,item_standardized_l2_cosine,64,standardized_l2,cosine,128,40.0,0.394195,3250,2,1102,0.33907692307692305,2148,0.660923076923077,1134,0.34892307692307695,0.5279329608938548,1014,1074.0,1074.0
item_run_0107,item_pca10_l2_cosine,10,pca10_l2,cosine,11,50.0,0.1058,3250,2,1116,0.3433846153846154,2134,0.6566153846153846,1108,0.34092307692307694,0.5192127460168697,1026,1067.0,1067.0
item_run_0524,item_pca30_l2_cosine,30,pca30_l2,cosine,31,45.0,0.276159,3250,2,1158,0.3563076923076923,2092,0.6436923076923077,1102,0.33907692307692305,0.5267686424474187,990,1046.0,1046.0
item_run_0125,item_pca10_l2_cosine,10,pca10_l2,cosine,20,45.0,0.110731,3250,2,1200,0.36923076923076925,2050,0.6307692307692307,1072,0.32984615384615384,0.5229268292682927,978,1025.0,1025.0
item_run_0809,item_standardized_l2_cosine,64,standardized_l2,cosine,33,45.0,0.366805,3250,2,1207,0.37138461538461537,2043,0.6286153846153846,1094,0.3366153846153846,0.5354870288790994,949,1021.5,1021.5
item_run_0296,item_pca20_l2_cosine,20,pca20_l2,cosine,21,45.0,0.205859,3250,2,1208,0.3716923076923077,2042,0.6283076923076923,1086,0.33415384615384613,0.5318315377081293,956,1021.0,1021.0
item_run_0048,item_l2_cosine,64,l2,cosine,65,40.0,0.378057,3250,2,1214,0.37353846153846154,2036,0.6264615384615385,1390,0.4276923076923077,0.6827111984282908,646,1018.0,1018.0
item_run_0542,item_pca30_l2_cosine,30,pca30_l2,cosine,60,40.0,0.275326,3250,2,1233,0.3793846153846154,2017,0.6206153846153846,1069,0.32892307692307693,0.5299950421417947,948,1008.5,1008.5
item_run_0688,item_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,60,10.0,0.581073,3250,2,1237,0.38061538461538463,2013,0.6193846153846154,1743,0.5363076923076923,0.8658718330849479,270,1006.5,1006.5
item_run_0314,item_pca20_l2_cosine,20,pca20_l2,cosine,40,40.0,0.20647,3250,2,1283,0.39476923076923076,1967,0.6052307692307692,1055,0.32461538461538464,0.5363497712252161,912,983.5,983.5
