user_cluster,user_cluster_label,is_noise,genre,weighted_rating_events,weighted_liked_events,distinct_users,mean_rating,cluster_weighted_rating_events,cluster_weighted_liked_events,share_of_cluster_likes,like_rate,global_share_of_likes,cluster_vs_global_like_lift,rank_within_cluster
-1,noise,True,Drama,61292.583333333336,41029.433333333334,1910,3.829576265379834,280962.0,170272.0,0.24096406533859552,0.669402904919165,0.2381504210225239,1.0118145678852506,1
-1,noise,True,Comedy,61356.23333333333,36013.316666666666,1910,3.6297094814771063,280962.0,170272.0,0.2115046318047986,0.5869544903614792,0.20790197804962418,1.0173286170192883,2
-1,noise,True,Action,27619.433333333334,15604.6,1908,3.5793862528459486,280962.0,170272.0,0.09164513249389213,0.5649862476058524,0.09621611341476745,0.9524925632656686,3
-1,noise,True,Thriller,22787.283333333333,13688.333333333334,1904,3.639510260655296,280962.0,170272.0,0.08039098227150285,0.6007005369222747,0.08380650634416474,0.9592451204368847,4
-1,noise,True,Romance,18009.266666666666,10844.5,1904,3.6834420843167197,280962.0,170272.0,0.0636892736327758,0.6021622201903465,0.06146071529652774,1.036259882845424,5
-1,noise,True,Sci-Fi,17245.683333333334,9524.4,1886,3.541600227168476,280962.0,170272.0,0.05593638413831986,0.5522773331683967,0.056269139940010086,0.9940863535137557,6
-1,noise,True,Adventure,12714.433333333332,7169.416666666667,1887,3.566875816993464,280962.0,170272.0,0.042105670143456744,0.5638801571966768,0.042441548775867456,0.9920860891720875,7
-1,noise,True,Crime,8883.033333333333,5785.783333333333,1865,3.782457512930847,280962.0,170272.0,0.03397965216438013,0.6513296884322547,0.03422400973974922,0.9928600541775418,8
-1,noise,True,War,7737.716666666666,5507.883333333333,1869,3.9418952740835254,280962.0,170272.0,0.03234755763327695,0.7118228245628017,0.03213836463860049,1.0065091362621859,9
-1,noise,True,Horror,11832.233333333334,5432.433333333333,1756,3.2843122894389922,280962.0,170272.0,0.03190444308713901,0.45912155214428385,0.032836986488044693,0.971600822711146,10
0,cluster_0,False,Comedy,38816.316666666666,20360.55,1278,3.4768150097943193,180458.0,101098.0,0.20139419177431797,0.5245358588463013,0.20790197804962418,0.9686978145356901,1
0,cluster_0,False,Drama,32192.316666666666,19198.516666666666,1279,3.6648519045987995,180458.0,101098.0,0.18990006396433823,0.5963695270973043,0.2381504210225239,0.7973954576648755,2
0,cluster_0,False,Action,22290.75,12969.116666666667,1273,3.6226563056961574,180458.0,101098.0,0.12828262346106417,0.5818160746797064,0.09621611341476745,1.3332758818480304,3
0,cluster_0,False,Thriller,15908.466666666667,9607.766666666666,1259,3.633614976805832,180458.0,101098.0,0.09503419124677705,0.6039404593780251,0.08380650634416474,1.1339715183509027,4
0,cluster_0,False,Romance,11528.283333333333,6612.583333333333,1267,3.6150351541373715,180458.0,101098.0,0.06540765725665526,0.5735965314292241,0.06146071529652774,1.0642189395467467,5
0,cluster_0,False,Sci-Fi,11603.933333333332,6180.483333333334,1244,3.5250182209969263,180458.0,101098.0,0.061133586552981595,0.5326196864281653,0.056269139940010086,1.0864496350603121,6
0,cluster_0,False,Adventure,9553.916666666666,5442.4,1249,3.5874965402712427,180458.0,101098.0,0.053832914597717066,0.569651190175059,0.042441548775867456,1.2684012754107319,7
0,cluster_0,False,Horror,8676.266666666666,3600.15,1088,3.1854778790949005,180458.0,101098.0,0.035610496745731864,0.41494229468895993,0.032836986488044693,1.0844629959785423,8
0,cluster_0,False,War,4535.05,3012.3333333333335,1233,3.838272103350828,180458.0,101098.0,0.029796171371672373,0.664233764420091,0.03213836463860049,0.9271215790452831,9
0,cluster_0,False,Children's,6113.566666666667,3006.5666666666666,1141,3.3828747284576393,180458.0,101098.0,0.029739131008196668,0.49178602779610375,0.02245196389823579,1.3245670242028798,10
1,cluster_1,False,Drama,68255.6,45793.28333333333,1532,3.8219029910786118,297886.0,173816.0,0.26345838894769946,0.6709088094359046,0.2381504210225239,1.1062688355389554,1
1,cluster_1,False,Comedy,64961.65,36181.183333333334,1531,3.5363993725549485,297886.0,173816.0,0.20815795630628559,0.5569621974400794,0.20790197804962418,1.0012312449312064,2
1,cluster_1,False,Action,28955.166666666668,14260.35,1531,3.4023296038051996,297886.0,173816.0,0.082042792378147,0.49249759685951267,0.09621611341476745,0.8526928543089011,3
1,cluster_1,False,Thriller,24667.05,14013.383333333333,1525,3.559147698714727,297886.0,173816.0,0.08062194120986177,0.5681013065337498,0.08380650634416474,0.9620009797183878,4
1,cluster_1,False,Romance,17452.533333333333,9904.366666666667,1526,3.585917774284217,297886.0,173816.0,0.05698190423589696,0.5675030941066818,0.06146071529652774,0.9271272545556624,5
1,cluster_1,False,Sci-Fi,17800.816666666666,9345.35,1523,3.4456605717228945,297886.0,173816.0,0.05376576379619828,0.5249955760456684,0.056269139940010086,0.9555106734085377,6
1,cluster_1,False,Crime,10214.35,6649.833333333333,1487,3.75760354577411,297886.0,173816.0,0.038257889569046195,0.6510285366502355,0.03422400973974922,1.1178669553910234,7
1,cluster_1,False,Adventure,12593.083333333334,6282.566666666667,1513,3.3904025918844276,297886.0,173816.0,0.036144927202712444,0.4988902638353064,0.042441548775867456,0.8516401555841593,8
1,cluster_1,False,War,7989.433333333333,5787.333333333333,1490,3.945278450363196,297886.0,173816.0,0.03329574569276322,0.724373443256301,0.03213836463860049,1.0360124439179659,9
1,cluster_1,False,Horror,12691.266666666666,5585.983333333334,1437,3.252159132671812,297886.0,173816.0,0.03213733680060141,0.44014387846760766,0.032836986488044693,0.9786932431300291,10
