run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
user_run_0001,user_l2_cosine,64,l2,cosine,5,1.0,0.067723,4722,2,4623,0.9790343074968234,99,0.02096569250317662,94,0.019906819144430325,0.9494949494949495,5,49.5,49.5
user_run_0002,user_l2_cosine,64,l2,cosine,5,2.5,0.083288,4722,1,4494,0.951715374841169,228,0.048284625158831,228,0.048284625158831,1.0,228,228.0,228.0
user_run_0003,user_l2_cosine,64,l2,cosine,5,5.0,0.098182,4722,1,4321,0.9150783566285472,401,0.08492164337145278,401,0.08492164337145278,1.0,401,401.0,401.0
user_run_0004,user_l2_cosine,64,l2,cosine,5,10.0,0.121192,4722,1,4057,0.859169843286743,665,0.1408301567132571,665,0.1408301567132571,1.0,665,665.0,665.0
user_run_0005,user_l2_cosine,64,l2,cosine,5,15.0,0.143412,4722,1,3771,0.7986022871664549,951,0.2013977128335451,951,0.2013977128335451,1.0,951,951.0,951.0
user_run_0006,user_l2_cosine,64,l2,cosine,5,20.0,0.163469,4722,2,3500,0.7412113511224058,1222,0.25878864887759423,1219,0.2581533248623465,0.997545008183306,3,611.0,611.0
user_run_0007,user_l2_cosine,64,l2,cosine,5,25.0,0.180723,4722,1,3222,0.6823379923761118,1500,0.3176620076238882,1500,0.3176620076238882,1.0,1500,1500.0,1500.0
user_run_0008,user_l2_cosine,64,l2,cosine,5,30.0,0.197269,4722,1,2954,0.6255823803473105,1768,0.37441761965268955,1768,0.37441761965268955,1.0,1768,1768.0,1768.0
user_run_0009,user_l2_cosine,64,l2,cosine,5,35.0,0.213987,4722,1,2712,0.5743329097839899,2010,0.4256670902160102,2010,0.4256670902160102,1.0,2010,2010.0,2010.0
user_run_0010,user_l2_cosine,64,l2,cosine,5,40.0,0.230401,4722,1,2411,0.5105887335874629,2311,0.48941126641253707,2311,0.48941126641253707,1.0,2311,2311.0,2311.0
user_run_0011,user_l2_cosine,64,l2,cosine,5,45.0,0.246738,4722,1,2175,0.4606099110546379,2547,0.5393900889453621,2547,0.5393900889453621,1.0,2547,2547.0,2547.0
user_run_0012,user_l2_cosine,64,l2,cosine,5,50.0,0.264159,4722,1,1926,0.4078780177890724,2796,0.5921219822109276,2796,0.5921219822109276,1.0,2796,2796.0,2796.0
user_run_0013,user_l2_cosine,64,l2,cosine,5,60.0,0.300184,4722,1,1471,0.31152054214315966,3251,0.6884794578568403,3251,0.6884794578568403,1.0,3251,3251.0,3251.0
user_run_0014,user_l2_cosine,64,l2,cosine,5,70.0,0.339801,4722,1,1021,0.21622193985599322,3701,0.7837780601440067,3701,0.7837780601440067,1.0,3701,3701.0,3701.0
user_run_0015,user_l2_cosine,64,l2,cosine,5,80.0,0.385467,4722,1,614,0.13002964845404488,4108,0.8699703515459551,4108,0.8699703515459551,1.0,4108,4108.0,4108.0
user_run_0016,user_l2_cosine,64,l2,cosine,5,85.0,0.415464,4722,1,424,0.08979246082168572,4298,0.9102075391783143,4298,0.9102075391783143,1.0,4298,4298.0,4298.0
user_run_0017,user_l2_cosine,64,l2,cosine,5,90.0,0.447024,4722,2,260,0.05506141465480729,4462,0.9449385853451927,4456,0.9436679373146971,0.9986553115194979,6,2231.0,2231.0
user_run_0018,user_l2_cosine,64,l2,cosine,5,95.0,0.496852,4722,1,111,0.023506988564167726,4611,0.9764930114358322,4611,0.9764930114358322,1.0,4611,4611.0,4611.0
user_run_0019,user_l2_cosine,64,l2,cosine,5,99.0,0.579142,4722,1,11,0.002329521389241847,4711,0.9976704786107582,4711,0.9976704786107582,1.0,4711,4711.0,4711.0
user_run_0020,user_l2_cosine,64,l2,cosine,33,1.0,0.096564,4722,1,4426,0.9373146971622194,296,0.06268530283778061,296,0.06268530283778061,1.0,296,296.0,296.0
user_run_0021,user_l2_cosine,64,l2,cosine,33,2.5,0.112847,4722,1,4234,0.8966539601863617,488,0.10334603981363828,488,0.10334603981363828,1.0,488,488.0,488.0
user_run_0022,user_l2_cosine,64,l2,cosine,33,5.0,0.129496,4722,1,4006,0.8483693350275308,716,0.1516306649724693,716,0.1516306649724693,1.0,716,716.0,716.0
user_run_0023,user_l2_cosine,64,l2,cosine,33,10.0,0.154477,4722,1,3667,0.776577721304532,1055,0.22342227869546802,1055,0.22342227869546802,1.0,1055,1055.0,1055.0
user_run_0024,user_l2_cosine,64,l2,cosine,33,15.0,0.178661,4722,1,3325,0.7041507835662855,1397,0.29584921643371453,1397,0.29584921643371453,1.0,1397,1397.0,1397.0
user_run_0025,user_l2_cosine,64,l2,cosine,33,20.0,0.20175,4722,1,2970,0.6289707750952986,1752,0.3710292249047014,1752,0.3710292249047014,1.0,1752,1752.0,1752.0
user_run_0026,user_l2_cosine,64,l2,cosine,33,25.0,0.219003,4722,1,2711,0.5741211351122406,2011,0.42587886488775945,2011,0.42587886488775945,1.0,2011,2011.0,2011.0
user_run_0027,user_l2_cosine,64,l2,cosine,33,30.0,0.240684,4722,1,2359,0.49957645065650147,2363,0.5004235493434985,2363,0.5004235493434985,1.0,2363,2363.0,2363.0
user_run_0028,user_l2_cosine,64,l2,cosine,33,35.0,0.257565,4722,1,2116,0.4481152054214316,2606,0.5518847945785684,2606,0.5518847945785684,1.0,2606,2606.0,2606.0
user_run_0029,user_l2_cosine,64,l2,cosine,33,40.0,0.276813,4722,1,1848,0.39135959339263027,2874,0.6086404066073697,2874,0.6086404066073697,1.0,2874,2874.0,2874.0
user_run_0030,user_l2_cosine,64,l2,cosine,33,45.0,0.297557,4722,1,1586,0.33587462939432444,3136,0.6641253706056756,3136,0.6641253706056756,1.0,3136,3136.0,3136.0
user_run_0031,user_l2_cosine,64,l2,cosine,33,50.0,0.315414,4722,1,1360,0.28801355357899194,3362,0.7119864464210081,3362,0.7119864464210081,1.0,3362,3362.0,3362.0
user_run_0032,user_l2_cosine,64,l2,cosine,33,60.0,0.35477,4722,1,947,0.20055061414654807,3775,0.7994493858534519,3775,0.7994493858534519,1.0,3775,3775.0,3775.0
user_run_0033,user_l2_cosine,64,l2,cosine,33,70.0,0.400768,4722,1,562,0.11901736552308344,4160,0.8809826344769166,4160,0.8809826344769166,1.0,4160,4160.0,4160.0
user_run_0034,user_l2_cosine,64,l2,cosine,33,80.0,0.453165,4722,1,279,0.0590851334180432,4443,0.9409148665819568,4443,0.9409148665819568,1.0,4443,4443.0,4443.0
user_run_0035,user_l2_cosine,64,l2,cosine,33,85.0,0.48386,4722,1,155,0.03282507412113511,4567,0.9671749258788649,4567,0.9671749258788649,1.0,4567,4567.0,4567.0
user_run_0036,user_l2_cosine,64,l2,cosine,33,90.0,0.520997,4722,1,84,0.017789072426937738,4638,0.9822109275730623,4638,0.9822109275730623,1.0,4638,4638.0,4638.0
user_run_0037,user_l2_cosine,64,l2,cosine,33,95.0,0.577899,4722,1,22,0.004659042778483694,4700,0.9953409572215163,4700,0.9953409572215163,1.0,4700,4700.0,4700.0
user_run_0038,user_l2_cosine,64,l2,cosine,33,99.0,0.672274,4722,1,1,0.00021177467174925878,4721,0.9997882253282507,4721,0.9997882253282507,1.0,4721,4721.0,4721.0
user_run_0039,user_l2_cosine,64,l2,cosine,65,1.0,0.110828,4722,1,4303,0.9112664125370605,419,0.08873358746293943,419,0.08873358746293943,1.0,419,419.0,419.0
user_run_0040,user_l2_cosine,64,l2,cosine,65,2.5,0.127801,4722,1,4094,0.8670055061414654,628,0.1329944938585345,628,0.1329944938585345,1.0,628,628.0,628.0
user_run_0041,user_l2_cosine,64,l2,cosine,65,5.0,0.145264,4722,1,3856,0.8166031342651419,866,0.1833968657348581,866,0.1833968657348581,1.0,866,866.0,866.0
