run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
user_run_0232,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,20,10.0,0.222797,4722,17,1904,0.40321897501058873,2818,0.5967810249894112,2517,0.5330368487928844,0.8931866572036906,10,16.0,165.76470588235293
user_run_0214,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,11,15.0,0.190132,4722,29,1773,0.3754764930114358,2949,0.6245235069885642,2587,0.5478610758153325,0.877246524245507,4,10.0,101.6896551724138
user_run_0213,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,11,10.0,0.183871,4722,33,2538,0.5374841168996188,2184,0.4625158831003812,1762,0.373146971622194,0.8067765567765568,5,11.0,66.18181818181819
user_run_0198,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,30.0,0.154759,4722,81,1514,0.3206268530283778,3208,0.6793731469716222,2695,0.5707327403642525,0.8400872817955112,2,5.0,39.60493827160494
user_run_0197,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,25.0,0.151401,4722,113,1829,0.38733587462939434,2893,0.6126641253706057,2177,0.46103346039813636,0.7525060490839959,1,5.0,25.601769911504423
user_run_0196,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,20.0,0.147152,4722,136,2234,0.47310461668784415,2488,0.5268953833121559,1592,0.33714527742482,0.639871382636656,2,5.0,18.294117647058822
user_run_0195,user_pca10_standardized_l2_cosine,10,pca10_standardized_l2,cosine,5,15.0,0.142201,4722,142,2726,0.5772977551884795,1996,0.4227022448115205,766,0.16221939855993223,0.3837675350701403,3,5.0,14.056338028169014
user_run_0309,user_pca20_l2_cosine,20,pca20_l2,cosine,40,15.0,0.242369,4722,3,2632,0.5573909360440491,2090,0.44260906395595084,1194,0.25285895806861497,0.5712918660287082,18,878.0,696.6666666666666
user_run_0290,user_pca20_l2_cosine,20,pca20_l2,cosine,21,15.0,0.213312,4722,3,2955,0.6257941550190598,1767,0.3742058449809403,1044,0.22109275730622618,0.5908319185059423,15,708.0,589.0
user_run_0422,user_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,11,10.0,0.364713,4722,29,2264,0.4794578568403219,2458,0.5205421431596781,2152,0.4557390936044049,0.8755085435313262,5,10.0,84.75862068965517
user_run_0406,user_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,5,25.0,0.328872,4722,73,1744,0.36933502753070735,2978,0.6306649724692927,2638,0.5586615840745447,0.8858294157152451,1,4.0,40.794520547945204
user_run_0405,user_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,5,20.0,0.323035,4722,85,2176,0.4608216857263871,2546,0.5391783142736128,2119,0.44875052943667937,0.8322859387274155,1,4.0,29.95294117647059
user_run_0404,user_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,5,15.0,0.316926,4722,101,2645,0.5601440067767895,2077,0.4398559932232105,1339,0.28356628547225754,0.6446798266730862,2,5.0,20.564356435643564
user_run_0537,user_pca30_l2_cosine,30,pca30_l2,cosine,60,15.0,0.322503,4722,2,2421,0.5127064803049556,2301,0.4872935196950445,1302,0.27573062261753495,0.5658409387222947,999,1150.5,1150.5
user_run_0536,user_pca30_l2_cosine,30,pca30_l2,cosine,60,10.0,0.294698,4722,2,2941,0.6228293096145701,1781,0.3771706903854299,1050,0.22236340533672172,0.5895564289724874,731,890.5,890.5
user_run_0686,user_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,60,2.5,0.559033,4722,3,2832,0.5997458703939009,1890,0.40025412960609913,1688,0.35747564591274883,0.8931216931216931,45,157.0,630.0
user_run_0633,user_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,5,20.0,0.424141,4722,76,2122,0.44938585345192716,2600,0.5506141465480728,2230,0.4722575180008471,0.8576923076923076,1,4.0,34.21052631578947
user_run_0632,user_pca30_standardized_l2_cosine,30,pca30_standardized_l2,cosine,5,15.0,0.417986,4722,95,2620,0.554849639983058,2102,0.44515036001694197,1578,0.3341804320203304,0.7507136060894386,1,5.0,22.126315789473683
user_run_0841,user_standardized_l2_cosine,64,standardized_l2,cosine,128,15.0,0.462779,4722,2,1911,0.40470139771283353,2811,0.5952986022871665,1532,0.32443879711986445,0.5450017787264319,1279,1405.5,1405.5
user_run_0840,user_standardized_l2_cosine,64,standardized_l2,cosine,128,10.0,0.432243,4722,2,2466,0.5222363405336722,2256,0.4777636594663278,1276,0.2702244811520542,0.5656028368794326,980,1128.0,1128.0
user_run_0821,user_standardized_l2_cosine,64,standardized_l2,cosine,65,10.0,0.383341,4722,2,2957,0.6262177043625582,1765,0.37378229563744175,1036,0.21939855993223212,0.5869688385269122,729,882.5,882.5
