run_key,space_name,min_samples,eps_percentile,eps,n_clusters,noise_size,noise_share,cluster_sizes_desc
user_run_0232,user_pca10_standardized_l2_cosine,20,10.0,0.222797,17,1904,0.40321897501058873,2517 | 51 | 34 | 30 | 19 | 18 | 17 | 16 | 16 | 15 | 15 | 14 | 12 | 12 | 11 | 11 | 10
user_run_0214,user_pca10_standardized_l2_cosine,11,15.0,0.190132,29,1773,0.3754764930114358,2587 | 48 | 34 | 21 | 19 | 18 | 16 | 15 | 13 | 13 | 13 | 12 | 12 | 11 | 10 | 10 | 10 | 10 | 9 | 9 | 8 | 8 | 8 | 7 | 7 | 6 | 6 | 5 | 4
user_run_0213,user_pca10_standardized_l2_cosine,11,10.0,0.183871,33,2538,0.5374841168996188,1762 | 35 | 24 | 23 | 23 | 20 | 18 | 18 | 18 | 16 | 15 | 15 | 15 | 14 | 12 | 11 | 11 | 11 | 11 | 11 | 10 | 9 | 9 | 9 | 8 | 8 | 8 | 8 | 8 | 7 | 6 | 6 | 5
user_run_0198,user_pca10_standardized_l2_cosine,5,30.0,0.154759,81,1514,0.3206268530283778,2695 | 24 | 23 | 21 | 16 | 15 | 15 | 14 | 13 | 12 | 10 | 10 | 10 | 9 | 9 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 2 | 2
user_run_0197,user_pca10_standardized_l2_cosine,5,25.0,0.151401,113,1829,0.38733587462939434,2177 | 24 | 22 | 20 | 17 | 17 | 17 | 16 | 16 | 16 | 13 | 13 | 12 | 12 | 10 | 10 | 10 | 10 | 10 | 10 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 2 | 2 | 1
user_run_0196,user_pca10_standardized_l2_cosine,5,20.0,0.147152,136,2234,0.47310461668784415,1592 | 54 | 28 | 22 | 21 | 19 | 16 | 15 | 15 | 14 | 14 | 14 | 11 | 11 | 11 | 10 | 10 | 10 | 10 | 10 | 10 | 9 | 9 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 2 | 2
user_run_0195,user_pca10_standardized_l2_cosine,5,15.0,0.142201,142,2726,0.5772977551884795,766 | 131 | 75 | 71 | 58 | 24 | 23 | 21 | 20 | 18 | 14 | 14 | 14 | 13 | 13 | 13 | 12 | 11 | 11 | 11 | 11 | 10 | 10 | 10 | 10 | 9 | 9 | 9 | 9 | 9 | 9 | 9 | 9 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
user_run_0309,user_pca20_l2_cosine,40,15.0,0.242369,3,2632,0.5573909360440491,1194 | 878 | 18
user_run_0290,user_pca20_l2_cosine,21,15.0,0.213312,3,2955,0.6257941550190598,1044 | 708 | 15
user_run_0422,user_pca20_standardized_l2_cosine,11,10.0,0.364713,29,2264,0.4794578568403219,2152 | 30 | 20 | 18 | 14 | 13 | 12 | 12 | 12 | 11 | 11 | 11 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 9 | 8 | 8 | 8 | 6 | 6 | 6 | 6 | 5
user_run_0406,user_pca20_standardized_l2_cosine,5,25.0,0.328872,73,1744,0.36933502753070735,2638 | 17 | 13 | 10 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 7 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 2 | 1 | 1
user_run_0405,user_pca20_standardized_l2_cosine,5,20.0,0.323035,85,2176,0.4608216857263871,2119 | 16 | 15 | 12 | 11 | 11 | 10 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 7 | 7 | 7 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 2 | 1 | 1 | 1
user_run_0404,user_pca20_standardized_l2_cosine,5,15.0,0.316926,101,2645,0.5601440067767895,1339 | 94 | 46 | 27 | 21 | 17 | 16 | 15 | 12 | 12 | 11 | 10 | 10 | 9 | 9 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 2 | 2
user_run_0537,user_pca30_l2_cosine,60,15.0,0.322503,2,2421,0.5127064803049556,1302 | 999
user_run_0536,user_pca30_l2_cosine,60,10.0,0.294698,2,2941,0.6228293096145701,1050 | 731
user_run_0686,user_pca30_standardized_l2_cosine,60,2.5,0.559033,3,2832,0.5997458703939009,1688 | 157 | 45
