group_id,group_type,member_position,user_idx,user_id,user_cluster
test_group_0001,homogeneous_cluster_0,0,4411,5648,0
test_group_0001,homogeneous_cluster_0,1,2090,2698,0
test_group_0001,homogeneous_cluster_0,2,2795,3599,0
test_group_0002,homogeneous_cluster_0,0,2106,2730,0
test_group_0002,homogeneous_cluster_0,1,2698,3476,0
test_group_0002,homogeneous_cluster_0,2,2566,3306,0
test_group_0003,homogeneous_cluster_0,0,1824,2329,0
test_group_0003,homogeneous_cluster_0,1,163,212,0
test_group_0003,homogeneous_cluster_0,2,729,935,0
test_group_0004,homogeneous_cluster_0,0,3185,4063,0
test_group_0004,homogeneous_cluster_0,1,1873,2400,0
test_group_0004,homogeneous_cluster_0,2,3094,3955,0
test_group_0005,homogeneous_cluster_0,0,3136,4003,0
test_group_0005,homogeneous_cluster_0,1,2909,3734,0
test_group_0005,homogeneous_cluster_0,2,1230,1575,0
test_group_0006,homogeneous_cluster_0,0,3156,4028,0
test_group_0006,homogeneous_cluster_0,1,574,742,0
test_group_0006,homogeneous_cluster_0,2,4564,5840,0
test_group_0007,homogeneous_cluster_0,0,1330,1702,0
test_group_0007,homogeneous_cluster_0,1,1865,2390,0
test_group_0007,homogeneous_cluster_0,2,2602,3349,0
test_group_0008,homogeneous_cluster_0,0,3759,4816,0
test_group_0008,homogeneous_cluster_0,1,2394,3085,0
test_group_0008,homogeneous_cluster_0,2,2215,2863,0
test_group_0009,homogeneous_cluster_0,0,1943,2500,0
test_group_0009,homogeneous_cluster_0,1,342,441,0
test_group_0009,homogeneous_cluster_0,2,3423,4375,0
test_group_0010,homogeneous_cluster_0,0,3102,3966,0
test_group_0010,homogeneous_cluster_0,1,2707,3485,0
test_group_0010,homogeneous_cluster_0,2,2127,2754,0
test_group_0011,homogeneous_cluster_0,0,3293,4206,0
test_group_0011,homogeneous_cluster_0,1,963,1221,0
test_group_0011,homogeneous_cluster_0,2,3373,4310,0
test_group_0012,homogeneous_cluster_0,0,4427,5668,0
test_group_0012,homogeneous_cluster_0,1,3586,4588,0
test_group_0012,homogeneous_cluster_0,2,906,1148,0
test_group_0013,homogeneous_cluster_0,0,699,896,0
test_group_0013,homogeneous_cluster_0,1,2896,3716,0
test_group_0013,homogeneous_cluster_0,2,471,615,0
test_group_0014,homogeneous_cluster_0,0,1133,1437,0
test_group_0014,homogeneous_cluster_0,1,930,1177,0
test_group_0014,homogeneous_cluster_0,2,4371,5600,0
test_group_0015,homogeneous_cluster_0,0,4059,5210,0
test_group_0015,homogeneous_cluster_0,1,1825,2330,0
test_group_0015,homogeneous_cluster_0,2,3672,4704,0
test_group_0016,homogeneous_cluster_0,0,3292,4205,0
test_group_0016,homogeneous_cluster_0,1,3445,4409,0
test_group_0016,homogeneous_cluster_0,2,631,812,0
test_group_0017,homogeneous_cluster_0,0,178,236,0
test_group_0017,homogeneous_cluster_0,1,1680,2144,0
test_group_0017,homogeneous_cluster_0,2,1536,1965,0
test_group_0018,homogeneous_cluster_0,0,3356,4291,0
test_group_0018,homogeneous_cluster_0,1,1317,1689,0
test_group_0018,homogeneous_cluster_0,2,1965,2535,0
test_group_0019,homogeneous_cluster_0,0,1911,2454,0
test_group_0019,homogeneous_cluster_0,1,3433,4387,0
test_group_0019,homogeneous_cluster_0,2,4605,5891,0
test_group_0020,homogeneous_cluster_0,0,1895,2428,0
test_group_0020,homogeneous_cluster_0,1,3560,4556,0
test_group_0020,homogeneous_cluster_0,2,264,343,0
test_group_0021,homogeneous_cluster_0,0,3200,4083,0
test_group_0021,homogeneous_cluster_0,1,1529,1957,0
test_group_0021,homogeneous_cluster_0,2,3109,3975,0
test_group_0022,homogeneous_cluster_0,0,4587,5868,0
test_group_0022,homogeneous_cluster_0,1,867,1104,0
test_group_0022,homogeneous_cluster_0,2,88,113,0
test_group_0023,homogeneous_cluster_0,0,4469,5720,0
test_group_0023,homogeneous_cluster_0,1,4463,5712,0
test_group_0023,homogeneous_cluster_0,2,2013,2595,0
test_group_0024,homogeneous_cluster_0,0,3343,4274,0
test_group_0024,homogeneous_cluster_0,1,3610,4617,0
test_group_0024,homogeneous_cluster_0,2,273,354,0
test_group_0025,homogeneous_cluster_0,0,989,1259,0
test_group_0025,homogeneous_cluster_0,1,2588,3333,0
test_group_0025,homogeneous_cluster_0,2,555,720,0
test_group_0026,homogeneous_cluster_0,0,128,165,0
test_group_0026,homogeneous_cluster_0,1,411,531,0
test_group_0026,homogeneous_cluster_0,2,709,913,0
test_group_0027,homogeneous_cluster_0,0,2880,3699,0
test_group_0027,homogeneous_cluster_0,1,372,478,0
test_group_0027,homogeneous_cluster_0,2,825,1054,0
test_group_0028,homogeneous_cluster_0,0,3718,4766,0
test_group_0028,homogeneous_cluster_0,1,4244,5449,0
test_group_0028,homogeneous_cluster_0,2,2829,3644,0
