group_id,group_type,user_idx_list,user_id_list,cluster_list,cluster_entropy,avg_pairwise_embedding_distance,majority_cluster,minority_cluster,noise_share
test_group_0001,homogeneous_cluster_0,"[4411, 2090, 2795]","[5648, 2698, 3599]","[0, 0, 0]",0.0,1.0551906824111938,,,0.0
test_group_0002,homogeneous_cluster_0,"[2106, 2698, 2566]","[2730, 3476, 3306]","[0, 0, 0]",0.0,0.7959306836128235,,,0.0
test_group_0003,homogeneous_cluster_0,"[1824, 163, 729]","[2329, 212, 935]","[0, 0, 0]",0.0,0.8083946108818054,,,0.0
test_group_0004,homogeneous_cluster_0,"[3185, 1873, 3094]","[4063, 2400, 3955]","[0, 0, 0]",0.0,0.5878023505210876,,,0.0
test_group_0005,homogeneous_cluster_0,"[3136, 2909, 1230]","[4003, 3734, 1575]","[0, 0, 0]",0.0,1.009712815284729,,,0.0
test_group_0006,homogeneous_cluster_0,"[3156, 574, 4564]","[4028, 742, 5840]","[0, 0, 0]",0.0,1.0334995985031128,,,0.0
test_group_0007,homogeneous_cluster_0,"[1330, 1865, 2602]","[1702, 2390, 3349]","[0, 0, 0]",0.0,0.7583160400390625,,,0.0
test_group_0008,homogeneous_cluster_0,"[3759, 2394, 2215]","[4816, 3085, 2863]","[0, 0, 0]",0.0,0.9900099635124207,,,0.0
test_group_0009,homogeneous_cluster_0,"[1943, 342, 3423]","[2500, 441, 4375]","[0, 0, 0]",0.0,0.6177639961242676,,,0.0
test_group_0010,homogeneous_cluster_0,"[3102, 2707, 2127]","[3966, 3485, 2754]","[0, 0, 0]",0.0,0.7213590741157532,,,0.0
test_group_0011,homogeneous_cluster_0,"[3293, 963, 3373]","[4206, 1221, 4310]","[0, 0, 0]",0.0,1.0977596044540405,,,0.0
test_group_0012,homogeneous_cluster_0,"[4427, 3586, 906]","[5668, 4588, 1148]","[0, 0, 0]",0.0,0.6722784042358398,,,0.0
test_group_0013,homogeneous_cluster_0,"[699, 2896, 471]","[896, 3716, 615]","[0, 0, 0]",0.0,0.7210416197776794,,,0.0
test_group_0014,homogeneous_cluster_0,"[1133, 930, 4371]","[1437, 1177, 5600]","[0, 0, 0]",0.0,1.1401420831680298,,,0.0
test_group_0015,homogeneous_cluster_0,"[4059, 1825, 3672]","[5210, 2330, 4704]","[0, 0, 0]",0.0,0.556587815284729,,,0.0
test_group_0016,homogeneous_cluster_0,"[3292, 3445, 631]","[4205, 4409, 812]","[0, 0, 0]",0.0,0.7144913673400879,,,0.0
test_group_0017,homogeneous_cluster_0,"[178, 1680, 1536]","[236, 2144, 1965]","[0, 0, 0]",0.0,0.9690443873405457,,,0.0
test_group_0018,homogeneous_cluster_0,"[3356, 1317, 1965]","[4291, 1689, 2535]","[0, 0, 0]",0.0,0.8894133567810059,,,0.0
test_group_0019,homogeneous_cluster_0,"[1911, 3433, 4605]","[2454, 4387, 5891]","[0, 0, 0]",0.0,0.7751167416572571,,,0.0
test_group_0020,homogeneous_cluster_0,"[1895, 3560, 264]","[2428, 4556, 343]","[0, 0, 0]",0.0,0.5149661898612976,,,0.0
test_group_0021,homogeneous_cluster_0,"[3200, 1529, 3109]","[4083, 1957, 3975]","[0, 0, 0]",0.0,0.8662281036376953,,,0.0
test_group_0022,homogeneous_cluster_0,"[4587, 867, 88]","[5868, 1104, 113]","[0, 0, 0]",0.0,0.8858592510223389,,,0.0
test_group_0023,homogeneous_cluster_0,"[4469, 4463, 2013]","[5720, 5712, 2595]","[0, 0, 0]",0.0,0.8074977397918701,,,0.0
test_group_0024,homogeneous_cluster_0,"[3343, 3610, 273]","[4274, 4617, 354]","[0, 0, 0]",0.0,0.7399141192436218,,,0.0
test_group_0025,homogeneous_cluster_0,"[989, 2588, 555]","[1259, 3333, 720]","[0, 0, 0]",0.0,0.6435522437095642,,,0.0
test_group_0026,homogeneous_cluster_0,"[128, 411, 709]","[165, 531, 913]","[0, 0, 0]",0.0,0.7624446749687195,,,0.0
test_group_0027,homogeneous_cluster_0,"[2880, 372, 825]","[3699, 478, 1054]","[0, 0, 0]",0.0,0.7788650393486023,,,0.0
test_group_0028,homogeneous_cluster_0,"[3718, 4244, 2829]","[4766, 5449, 3644]","[0, 0, 0]",0.0,1.032881498336792,,,0.0
test_group_0029,homogeneous_cluster_0,"[2213, 1754, 4316]","[2861, 2242, 5532]","[0, 0, 0]",0.0,1.0455321073532104,,,0.0
test_group_0030,homogeneous_cluster_0,"[2875, 610, 350]","[3694, 789, 452]","[0, 0, 0]",0.0,0.6259801983833313,,,0.0
test_group_0031,homogeneous_cluster_0,"[1179, 662, 58]","[1501, 853, 75]","[0, 0, 0]",0.0,0.7094259262084961,,,0.0
test_group_0032,homogeneous_cluster_0,"[136, 247, 2378]","[176, 325, 3064]","[0, 0, 0]",0.0,0.6539382934570312,,,0.0
