user_idx,user_id,user_cluster,score_source,precision_10,recall_10,hit_rate_10,ndcg_10
0,1,0,mf,0.0,0.0,0.0,0.0
0,1,0,rating_user_knn,0.0,0.0,0.0,0.0
1,2,-1,mf,0.0,0.0,0.0,0.0
1,2,-1,rating_user_knn,0.0,0.0,0.0,0.0
2,3,0,mf,0.0,0.0,0.0,0.0
2,3,0,rating_user_knn,0.0,0.0,0.0,0.0
3,5,1,mf,0.0,0.0,0.0,0.0
3,5,1,rating_user_knn,0.0,0.0,0.0,0.0
4,6,0,mf,0.1,0.125,1.0,0.15958907712489637
4,6,0,rating_user_knn,0.0,0.0,0.0,0.0
5,8,-1,mf,0.0,0.0,0.0,0.0
5,8,-1,rating_user_knn,0.0,0.0,0.0,0.0
6,9,1,mf,0.0,0.0,0.0,0.0
6,9,1,rating_user_knn,0.0,0.0,0.0,0.0
7,10,0,mf,0.4,0.13793103448275862,1.0,0.5231737964779629
7,10,0,rating_user_knn,0.0,0.0,0.0,0.0
8,11,-1,mf,0.0,0.0,0.0,0.0
8,11,-1,rating_user_knn,0.0,0.0,0.0,0.0
10,15,-1,mf,0.0,0.0,0.0,0.0
10,15,-1,rating_user_knn,0.0,0.0,0.0,0.0
11,17,1,mf,0.0,0.0,0.0,0.0
11,17,1,rating_user_knn,0.0,0.0,0.0,0.0
12,18,-1,mf,0.0,0.0,0.0,0.0
12,18,-1,rating_user_knn,0.0,0.0,0.0,0.0
13,19,-1,mf,0.1,0.09090909090909091,1.0,0.07336392209936006
13,19,-1,rating_user_knn,0.0,0.0,0.0,0.0
14,22,1,mf,0.0,0.0,0.0,0.0
14,22,1,rating_user_knn,0.0,0.0,0.0,0.0
15,23,-1,mf,0.0,0.0,0.0,0.0
15,23,-1,rating_user_knn,0.0,0.0,0.0,0.0
16,24,1,mf,0.2,0.14285714285714285,1.0,0.16421958630632805
16,24,1,rating_user_knn,0.0,0.0,0.0,0.0
17,25,-1,mf,0.0,0.0,0.0,0.0
17,25,-1,rating_user_knn,0.0,0.0,0.0,0.0
18,26,0,mf,0.0,0.0,0.0,0.0
18,26,0,rating_user_knn,0.0,0.0,0.0,0.0
19,27,1,mf,0.1,0.14285714285714285,1.0,0.0979129253499678
19,27,1,rating_user_knn,0.0,0.0,0.0,0.0
20,28,-1,mf,0.0,0.0,0.0,0.0
20,28,-1,rating_user_knn,0.0,0.0,0.0,0.0
21,29,-1,mf,0.0,0.0,0.0,0.0
21,29,-1,rating_user_knn,0.0,0.0,0.0,0.0
22,30,0,mf,0.0,0.0,0.0,0.0
22,30,0,rating_user_knn,0.0,0.0,0.0,0.0
23,31,-1,mf,0.0,0.0,0.0,0.0
23,31,-1,rating_user_knn,0.0,0.0,0.0,0.0
25,33,-1,mf,0.0,0.0,0.0,0.0
25,33,-1,rating_user_knn,0.0,0.0,0.0,0.0
26,34,-1,mf,0.0,0.0,0.0,0.0
26,34,-1,rating_user_knn,0.0,0.0,0.0,0.0
27,35,1,mf,0.0,0.0,0.0,0.0
27,35,1,rating_user_knn,0.0,0.0,0.0,0.0
28,36,-1,mf,0.0,0.0,0.0,0.0
28,36,-1,rating_user_knn,0.0,0.0,0.0,0.0
29,37,0,mf,0.0,0.0,0.0,0.0
29,37,0,rating_user_knn,0.0,0.0,0.0,0.0
