score_source,aggregation,method,groups,mean_group_precision_10,mean_group_recall_10,mean_group_ndcg_10,mean_member_ndcg_10,mean_worst_member_satisfaction,mean_jain_fairness,mean_minority_cluster_satisfaction,mean_minority_zero_satisfaction_rate,mean_cluster_satisfaction_gap,mean_zero_satisfaction_share,mean_member_hit_share,mean_intra_list_embedding_distance
mf,nash_welfare,mf_nash_welfare,200,0.02283333333333333,0.02876613400527636,0.06765545125194718,0.03107128157909456,0.0,0.15825609536828567,0.035308846932768326,0.82,0.03203743349891521,0.8383333333333333,0.16166666666666665,0.35548184283077716
mf,average,mf_average,200,0.022333333333333334,0.02772482696185466,0.0663063392395874,0.030299687547992882,0.0,0.15487794953867579,0.03511026802815696,0.82,0.03152751566720375,0.8416666666666667,0.15833333333333333,0.35573715724050997
mf,tuned_fairness,mf_tuned_fairness,200,0.022333333333333334,0.02772482696185466,0.0663063392395874,0.030299687547992882,0.0,0.15487794953867579,0.03511026802815696,0.82,0.03152751566720375,0.8416666666666667,0.15833333333333333,0.35573715724050997
mf,dbscan_minority_nash,mf_dbscan_minority_nash,200,0.022333333333333334,0.02779979680290975,0.06552402795127603,0.03038310306546121,0.0,0.156629906740253,0.030297378142222837,0.84,0.03003157601996311,0.84,0.16,0.35892240837216377
hybrid_mf_bayes,nash_welfare,hybrid_mf_bayes_nash_welfare,200,0.02066666666666667,0.024685648300365178,0.0619822665891565,0.027303425241816583,0.0,0.14183722025602905,0.030806694992362393,0.86,0.02549985194612823,0.855,0.145,0.33159767881035807
hybrid_mf_bayes,dbscan_minority_nash,hybrid_mf_bayes_dbscan_minority_nash,200,0.020666666666666663,0.024542936637214678,0.06187137963308861,0.027403691119130654,0.0,0.1412854097478066,0.027177811518914612,0.86,0.025670582149766114,0.855,0.145,0.33067248232662677
hybrid_mf_bayes,average,hybrid_mf_bayes_average,200,0.020499999999999997,0.024044775284492163,0.06099905766591176,0.027199780300806033,0.0,0.1428397977342729,0.032961892829030115,0.84,0.026045826181129855,0.8533333333333333,0.14666666666666667,0.3260101878643036
hybrid_mf_bayes,tuned_fairness,hybrid_mf_bayes_tuned_fairness,200,0.020499999999999997,0.024044775284492163,0.06099905766591176,0.027199780300806033,0.0,0.1428397977342729,0.032961892829030115,0.84,0.026045826181129855,0.8533333333333333,0.14666666666666667,0.3260101878643036
hybrid_mf_bayes,least_misery,hybrid_mf_bayes_least_misery,200,0.019333333333333334,0.024409056012705724,0.05809817391961908,0.026616161752423702,0.0,0.13804809636504337,0.029590517815043692,0.88,0.025550517310007247,0.8583333333333333,0.14166666666666666,0.34228318482637404
mf,least_misery,mf_least_misery,200,0.018166666666666668,0.021269362153062108,0.05538974598169699,0.026465780075488294,0.0003312711172719452,0.12396599382981982,0.028469905364568913,0.9,0.028021437297533397,0.8716666666666667,0.12833333333333333,0.362606268376112
rating_user_knn,average,rating_user_knn_average,200,0.011833333333333333,0.01423065712238137,0.03241939510466489,0.014245943844447485,0.0,0.10058560726819979,0.031072228205229133,0.84,0.016864310586837183,0.8983333333333333,0.10166666666666666,0.5055202113091946
rating_user_knn,tuned_fairness,rating_user_knn_tuned_fairness,200,0.011833333333333333,0.01423065712238137,0.03241939510466489,0.014245943844447485,0.0,0.10058560726819979,0.031072228205229133,0.84,0.016864310586837183,0.8983333333333333,0.10166666666666666,0.5055202113091946
rating_user_knn,nash_welfare,rating_user_knn_nash_welfare,200,0.011666666666666667,0.01422157178232629,0.03188589112310615,0.013962861671191545,0.0,0.09904702161019184,0.030231666870113357,0.86,0.016651223976177743,0.9,0.1,0.5023456297069788
rating_user_knn,dbscan_minority_nash,rating_user_knn_dbscan_minority_nash,200,0.0105,0.012531862153910256,0.028241127939769434,0.01243999868415693,0.0,0.09404702161019184,0.01264963715795812,0.92,0.012169175781606414,0.905,0.095,0.5197702588140964
rating_user_knn,least_misery,rating_user_knn_least_misery,200,0.0095,0.009866000425582154,0.02642236064705851,0.011652071790884228,0.0,0.07626573633053386,0.017538792058948708,0.92,0.010906507409314514,0.9233333333333333,0.07666666666666666,0.44888984531164167
