score_source,aggregation,method,groups,mean_group_ndcg_10,mean_minority_cluster_satisfaction,mean_minority_zero_satisfaction_rate,mean_cluster_satisfaction_gap,mean_jain_fairness,mean_member_hit_share,mean_zero_satisfaction_share
mf,nash_welfare,mf_nash_welfare,50,0.08837321181516511,0.035308846932768326,0.82,0.07435210744935848,0.16450554879120932,0.16666666666666663,0.8333333333333333
mf,average,mf_average,50,0.08847938123733101,0.03511026802815696,0.82,0.07403643232301262,0.1640574783437171,0.16666666666666663,0.8333333333333333
mf,tuned_fairness,mf_tuned_fairness,50,0.08847938123733101,0.03511026802815696,0.82,0.07403643232301262,0.1640574783437171,0.16666666666666663,0.8333333333333333
hybrid_mf_bayes,average,hybrid_mf_bayes_average,50,0.07994409993341617,0.032961892829030115,0.84,0.06613116367299327,0.14601713973569974,0.14666666666666667,0.8533333333333333
hybrid_mf_bayes,tuned_fairness,hybrid_mf_bayes_tuned_fairness,50,0.07994409993341617,0.032961892829030115,0.84,0.06613116367299327,0.14601713973569974,0.14666666666666667,0.8533333333333333
rating_user_knn,average,rating_user_knn_average,50,0.0424035886250207,0.031072228205229133,0.84,0.043497128179692826,0.10666666666666667,0.10666666666666666,0.8933333333333333
rating_user_knn,tuned_fairness,rating_user_knn_tuned_fairness,50,0.0424035886250207,0.031072228205229133,0.84,0.043497128179692826,0.10666666666666667,0.10666666666666666,0.8933333333333333
hybrid_mf_bayes,nash_welfare,hybrid_mf_bayes_nash_welfare,50,0.0778534672733863,0.030806694992362393,0.86,0.06308327046397817,0.13302283711064383,0.13333333333333333,0.8666666666666667
mf,dbscan_minority_nash,mf_dbscan_minority_nash,50,0.0798475186124805,0.030297378142222837,0.84,0.0663286775335501,0.1580007942790786,0.16,0.84
rating_user_knn,nash_welfare,rating_user_knn_nash_welfare,50,0.04161246287817669,0.030231666870113357,0.86,0.042520436305409755,0.1,0.1,0.9
hybrid_mf_bayes,least_misery,hybrid_mf_bayes_least_misery,50,0.06914180757320443,0.029590517815043692,0.88,0.060914166121699,0.12666666666666665,0.12666666666666665,0.8733333333333333
mf,least_misery,mf_least_misery,50,0.06629211861051053,0.028469905364568913,0.9,0.056510025314604515,0.10387796763949755,0.10666666666666666,0.8933333333333333
hybrid_mf_bayes,dbscan_minority_nash,hybrid_mf_bayes_dbscan_minority_nash,50,0.07740991944911475,0.027177811518914612,0.86,0.06376619127852971,0.13081559507775403,0.13333333333333333,0.8666666666666667
rating_user_knn,least_misery,rating_user_knn_least_misery,50,0.02422213053070887,0.017538792058948708,0.92,0.024959106316620662,0.06,0.06,0.94
rating_user_knn,dbscan_minority_nash,rating_user_knn_dbscan_minority_nash,50,0.027033410144829823,0.01264963715795812,0.92,0.024592243527124445,0.08,0.07999999999999999,0.92
